source,sourceWidth,sourceHeight,file,variant,width,height,quality,colorProfile,enlargement,bytes
"Atomic ski display.webp","1000","750","rodgers-atomic-ski-display-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","2.410","1760221"
"Atomic ski display.webp","1000","750","rodgers-atomic-ski-display-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.800","1141281"
"scenic-mountain-view-with-a-solitary-hiker-2026-03-24-06-26-17-utc.jpg","5184","3456","rodgers-hiker-autumn-foliage-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","3883014"
"scenic-mountain-view-with-a-solitary-hiker-2026-03-24-06-26-17-utc.jpg","5184","3456","rodgers-hiker-autumn-foliage-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","2422375"
"rear-view-of-male-hiker-looking-out-from-ridge-bl-2026-03-25-09-04-06-utc.jpg","5600","3733","rodgers-hiker-rocky-ridge-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","3396785"
"rear-view-of-male-hiker-looking-out-from-ridge-bl-2026-03-25-09-04-06-utc.jpg","5600","3733","rodgers-hiker-rocky-ridge-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1943679"
"hike.jpg","5928","3167","rodgers-hiker-summit-overlook-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","3133331"
"hike.jpg","5928","3167","rodgers-hiker-summit-overlook-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1873920"
"Lincon-Peak-1.psd","2048","1536","rodgers-lincoln-river-valley-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.176","3454356"
"Lincon-Peak-1.psd","2048","1536","rodgers-lincoln-river-valley-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","2330076"
"man-jumps-high-on-bike-in-forest-2026-01-07-01-02-29-utc.jpg","4256","2832","rodgers-mountain-bike-forest-jump-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","4837896"
"man-jumps-high-on-bike-in-forest-2026-01-07-01-02-29-utc.jpg","4256","2832","rodgers-mountain-bike-forest-jump-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","2567702"
"MtnBiker.jpg","1731","1156","rodgers-mountain-biker-forest-trail-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.389","1874078"
"MtnBiker.jpg","1731","1156","rodgers-mountain-biker-forest-trail-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.169","1364534"
"mountain-bikers-enjoy-views-clear-sunny-summer-da-2026-03-17-02-26-24-utc.jpg","3985","2657","rodgers-mountain-bikers-ridge-view-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","3350460"
"mountain-bikers-enjoy-views-clear-sunny-summer-da-2026-03-17-02-26-24-utc.jpg","3985","2657","rodgers-mountain-bikers-ridge-view-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1645705"
"2000x1200-riverside-aerial.psd","2000","1200","rodgers-riverside-autumn-aerial-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.205","4128187"
"2000x1200-riverside-aerial.psd","2000","1200","rodgers-riverside-autumn-aerial-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.125","2446652"
"20260902_193029211_iOS.heic","5712","4284","rodgers-ski-poles-display-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","2131685"
"20260902_193029211_iOS.heic","5712","4284","rodgers-ski-poles-display-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1452050"
"male-skier-carving-down-a-snowy-mountain-slope-2026-01-09-10-22-45-utc.jpg","5600","3733","rodgers-skier-carving-red-jacket-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","2161124"
"male-skier-carving-down-a-snowy-mountain-slope-2026-01-09-10-22-45-utc.jpg","5600","3733","rodgers-skier-carving-red-jacket-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1453810"
"IMG_5254.psd","3928","2619","rodgers-skier-powder-gondola-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","2928898"
"IMG_5254.psd","3928","2619","rodgers-skier-powder-gondola-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1377917"
"PXL_20230302_164302485.dng","4080","3072","rodgers-skiers-snowy-mountain-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","2682303"
"PXL_20230302_164302485.dng","4080","3072","rodgers-skiers-snowy-mountain-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1641395"
"male-snowboarder-glides-down-snowy-mountain-slope-2026-01-11-10-13-03-utc.jpg","7680","5120","rodgers-snowboarder-green-purple-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","1267157"
"male-snowboarder-glides-down-snowy-mountain-slope-2026-01-11-10-13-03-utc.jpg","7680","5120","rodgers-snowboarder-green-purple-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","740521"
"snowboarder-poses-on-snowy-mountain-on-sunny-day-2026-03-15-23-30-17-utc.jpg","4439","2930","rodgers-snowboarder-mountain-portrait-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","2379147"
"snowboarder-poses-on-snowy-mountain-on-sunny-day-2026-03-15-23-30-17-utc.jpg","4439","2930","rodgers-snowboarder-mountain-portrait-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1558913"
"*Border.psd","4200","5600","rodgers-snowboarder-mountain-view-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","3095478"
"*Border.psd","4200","5600","rodgers-snowboarder-mountain-view-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1427754"
"snowboarder-carving-down-snowy-slope-on-winter-day-2026-01-11-09-11-04-utc.jpg","4839","3226","rodgers-snowboarder-orange-pants-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","1387079"
"snowboarder-carving-down-snowy-slope-on-winter-day-2026-01-11-09-11-04-utc.jpg","4839","3226","rodgers-snowboarder-orange-pants-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1153415"
"393128701_18399536248002648_609134255181413660_n.psd","1440","962","rodgers-snowboarder-powder-turn-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.667","952863"
"393128701_18399536248002648_609134255181413660_n.psd","1440","962","rodgers-snowboarder-powder-turn-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.406","817921"
"billboard-back.psd","3200","1584","rodgers-snowy-ski-trail-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","2245442"
"billboard-back.psd","3200","1584","rodgers-snowy-ski-trail-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1224947"
"*pemi-base.psd","5464","3640","rodgers-south-peak-base-area-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","2878192"
"*pemi-base.psd","5464","3640","rodgers-south-peak-base-area-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1596646"
"1234.psd","8192","2720","rodgers-south-peak-sunrise-panorama-desktop-2400x1000.jpg","desktop","2400","1000","100","sRGB","1.000","2934968"
"1234.psd","8192","2720","rodgers-south-peak-sunrise-panorama-mobile-1080x1350.jpg","mobile","1080","1350","100","sRGB","1.000","1515221"
